COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
38,0,-42.985,-76.467,-87.949,-95.421,-208.682,-87.703,-87.465,-336.654,16.844,-186.507,-107.46,-23.64,-49.69,-143.614,-245.497,-184.623,-108.288,-100.255,-71.06,-55.289,-18.825,5.597,-72.067,-21.598,-64.026,59.192,-140.125,-55.337,-83.591,-136.399,-380.562,-178.448,3968.0,0.0,0.0,0,1688564518.4522,2023-07-05 15:41:58,Rest
39,0,-52.163,-80.489,-94.009,-99.936,-213.596,-97.861,-96.599,-339.391,16.827,-181.198,-114.012,-30.276,-55.276,-149.105,-250.887,-189.049,-118.939,-106.302,-80.211,-63.431,-26.49,-1.58,-80.192,-34.384,-70.622,59.133,-148.182,-62.454,-87.606,-138.824,-387.866,-183.393,3968.0,0.0,0.0,0,1688564518.4601,2023-07-05 15:41:58,Rest
40,0,-53.136,-81.434,-93.403,-104.447,-213.382,-99.812,-101.113,-344.175,16.81,-172.307,-114.923,-33.832,-55.221,-153.055,-258.321,-186.299,-131.627,-111.319,-86.278,-67.466,-32.099,1.495,-84.211,-30.251,-70.039,58.049,-146.497,-61.88,-90.08,-140.222,-386.453,-186.796,3968.0,0.0,0.0,0,1688564518.4679,2023-07-05 15:41:58,Rest
41,0,-48.984,-83.914,-93.821,-103.83,-214.194,-97.151,-96.401,-339.22,13.207,-179.819,-112.247,-33.286,-55.166,-153.414,-253.452,-182.526,-140.205,-114.794,-85.679,-66.886,-33.604,8.154,-83.102,-29.709,-68.945,53.893,-147.888,-63.867,-91.014,-139.57,-381.456,-187.121,3968.0,0.0,0.0,0,1688564518.4758,2023-07-05 15:41:58,Rest
42,0,-50.472,-87.928,-98.851,-106.288,-219.102,-98.591,-93.743,-336.319,12.682,-185.787,-109.06,-32.74,-54.598,-153.261,-250.124,-184.905,-139.04,-113.655,-82.52,-64.77,-28.447,9.17,-80.457,-31.728,-67.851,52.814,-151.326,-66.365,-91.948,-143.016,-384.661,-190.52,3840.0,0.0,0.0,0,1688564518.4837,2023-07-05 15:41:58,Rest
43,0,-54.52,-91.426,-101.313,-111.305,-222.982,-102.078,-100.309,-340.081,18.305,-180.991,-111.513,-36.806,-55.056,-154.644,-254.997,-189.331,-133.266,-113.029,-84.999,-67.779,-29.956,6.599,-83.963,-32.721,-70.345,55.323,-150.662,-67.835,-92.881,-146.459,-385.301,-194.428,3840.0,0.0,0.0,0,1688564518.4916,2023-07-05 15:41:58,Rest
44,0,-53.953,-89.798,-99.163,-107.095,-220.71,-103.001,-102.258,-334.618,21.873,-174.662,-114.988,-37.794,-57.562,-149.367,-250.131,-182.994,-136.719,-110.866,-87.475,-68.736,-34.537,6.593,-85.416,-34.737,-69.762,62.44,-146.925,-67.255,-92.788,-142.727,-373.644,-188.599,3968.0,0.0,0.0,0,1688564518.4994,2023-07-05 15:41:58,Rest
45,0,-51.85,-87.659,-94.453,-101.865,-217.927,-99.824,-95.496,-326.599,23.388,-167.315,-110.262,-32.633,-53.919,-141.02,-239.123,-172.565,-138.631,-104.608,-80.216,-58.933,-27.842,10.685,-78.67,-29.58,-62.008,69.037,-143.705,-65.651,-90.133,-141.56,-367.635,-183.287,3840.0,0.0,0.0,0,1688564518.5073,2023-07-05 15:41:58,Rest
46,0,-53.335,-92.695,-93.846,-104.837,-223.857,-97.675,-95.913,-330.883,25.926,-163.049,-109.639,-33.625,-52.84,-144.978,-238.884,-172.905,-135.419,-100.405,-75.525,-53.239,-25.765,13.235,-79.616,-25.964,-61.946,64.358,-146.122,-69.171,-91.58,-148.59,-372.391,-189.251,3968.0,0.0,0.0,0,1688564518.5151,2023-07-05 15:41:58,Rest
47,0,-54.306,-97.213,-98.363,-109.855,-229.269,-102.188,-100.94,-332.602,23.851,-166.472,-115.165,-35.64,-58.935,-149.956,-238.645,-172.22,-146.554,-96.718,-76.986,-57.796,-31.887,12.71,-86.709,-30.549,-68.031,60.707,-148.026,-71.664,-94.562,-149.979,-370.994,-193.673,3968.0,0.0,0.0,0,1688564518.523,2023-07-05 15:41:58,Rest
