COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
43,0,-14.568,-11.739,-268.468,-21.949,-11.758,-9.282,-0.611,-18.868,2.139,-4.579,-3.726,-12.72,-13.555,-8.721,4.657,-22.334,-13.636,-34.303,-16.539,-8.334,-16.058,-11.983,-15.745,-22.217,-7.23,-4.765,-12.469,-13.539,-24.118,-19.19,-24.68,-130.475,3968.0,0.0,0.0,0,1690553915.2862,2023-07-28 16:18:35,Rest
44,0,-20.701,-15.826,-277.933,-30.124,-19.943,-14.908,-9.832,-25.509,-2.986,-6.111,-8.333,-17.318,-20.714,-10.761,7.214,-24.873,-21.307,-26.072,-16.523,-11.4,-20.14,-20.168,-23.414,-27.83,-10.809,-9.371,-18.605,-16.599,-32.291,-24.806,-27.217,-140.591,3968.0,0.0,0.0,0,1690553915.2941,2023-07-28 16:18:35,Rest
45,0,-20.168,-16.835,-277.655,-35.217,-19.411,-15.405,-15.97,-29.07,-4.007,-4.568,-10.886,-15.252,-20.181,-10.238,8.744,-24.336,-20.261,-21.435,-18.043,-11.388,-20.12,-17.074,-24.415,-26.777,-10.286,-7.313,-19.611,-17.607,-31.746,-22.732,-30.263,-141.475,3968.0,0.0,0.0,0,1690553915.3019,2023-07-28 16:18:35,Rest
46,0,-9.389,-7.596,-267.643,-22.374,-8.121,-5.656,-7.757,-20.844,3.169,1.584,-1.654,-9.089,-11.452,-5.105,11.296,-17.139,-8.457,-11.68,-11.365,-6.254,-11.391,-7.835,-13.632,-19.578,-4.64,-0.133,-12.931,-8.881,-21.468,-14.512,-24.598,-132.112,3968.0,0.0,0.0,0,1690553915.3098,2023-07-28 16:18:35,Rest
47,0,2.916,3.17,-260.203,-11.593,3.158,-2.064,-5.188,-6.478,11.363,5.681,2.447,-2.932,-5.805,1.56,10.773,-15.073,-3.326,-5.52,-2.645,-1.637,-3.182,-4.241,-6.958,-10.849,1.512,4.478,-3.697,-0.675,-14.787,-5.276,-14.327,-120.197,3968.0,0.0,0.0,0,1690553915.3176,2023-07-28 16:18:35,Rest
48,0,8.036,4.703,-258.919,-17.217,5.717,-4.623,-5.183,-0.324,10.839,7.724,0.395,0.657,-3.75,2.071,7.688,-17.62,-5.372,-8.076,-5.204,-3.684,-3.179,-1.675,-6.951,-9.302,6.634,4.986,-2.668,-4.773,-13.235,0.364,-12.776,-115.466,3968.0,0.0,0.0,0,1690553915.3255,2023-07-28 16:18:35,Rest
49,0,2.392,0.6,-263.783,-22.323,1.1,-6.156,0.458,-6.472,3.656,4.13,2.444,-4.466,-8.869,-2.03,3.582,-18.627,-8.44,-15.241,-9.809,-11.878,-8.811,-6.285,-12.067,-19.026,1.504,0.37,-12.912,-12.452,-17.32,-7.833,-18.911,-127.133,3968.0,0.0,0.0,0,1690553915.3333,2023-07-28 16:18:35,Rest
50,0,-7.344,-3.499,-275.814,-21.276,-6.073,-12.297,-2.616,-17.224,-4.545,-5.095,-1.145,-13.684,-21.668,-8.688,-3.082,-27.317,-17.653,-26.496,-15.947,-19.55,-17.512,-18.574,-21.789,-28.229,-14.379,-11.414,-24.17,-16.538,-30.111,-23.194,-28.113,-144.425,3968.0,0.0,0.0,0,1690553915.3413,2023-07-28 16:18:35,Rest
51,0,-9.386,-6.057,-279.637,-23.816,-8.629,-18.433,-7.737,-25.916,-7.102,-8.164,-6.779,-12.645,-25.233,-13.29,-7.177,-35.999,-25.32,-33.642,-23.616,-20.555,-23.13,-20.092,-26.89,-29.225,-18.463,-18.062,-26.195,-20.62,-35.716,-26.245,-38.331,-141.719,3968.0,0.0,0.0,0,1690553915.3491,2023-07-28 16:18:35,Rest
52,0,-4.766,-5.538,-273.722,-26.354,-2.985,-14.828,0.98,-22.303,-4.533,-3.033,0.4,-4.436,-20.084,-8.153,-4.608,-30.328,-20.172,-32.071,-19.494,-15.924,-18.496,-13.412,-21.74,-27.659,-9.736,-12.409,-20.021,-19.575,-26.971,-20.583,-34.194,-130.306,3968.0,0.0,0.0,0,1690553915.357,2023-07-28 16:18:35,Rest
